order_id,customer_id,order_date,order_amount
1,479,2024-06-10,450.13
2,472,2025-01-28,387.83
3,110,2024-06-20,65.66
4,487,2024-02-22,196.27
5,325,2025-01-27,412.89
6,466,2024-07-19,386.94
7,323,2024-11-01,449.46
8,132,2024-06-09,472.4
9,69,2024-02-24,111.79
10,86,2024-07-29,258.08
11,405,2024-02-14,333.55
12,395,2024-07-13,213.15
13,163,2024-12-26,422.72
14,337,2024-05-10,258.12
15,209,2025-01-01,158.77
16,381,2024-08-02,146.38
17,285,2024-11-14,484.64
18,467,2025-01-02,296.66
19,299,2024-08-18,158.57
20,269,2024-07-09,166.77
21,132,2025-02-01,308.17
22,185,2024-03-11,346.71
23,121,2024-10-13,438.9
24,433,2024-04-18,94.62
25,433,2024-03-05,35.89
26,230,2024-10-31,36.69
27,422,2024-11-08,138.86
28,233,2024-03-04,364.26
29,452,2024-12-03,312.37
30,82,2025-01-18,330.15
31,414,2025-02-03,167.15
32,307,2024-07-07,294.58
33,212,2025-01-30,348.66
34,216,2024-02-16,49.64
35,433,2024-10-09,121.59
36,177,2024-02-15,341.72
37,187,2024-03-21,316.36
38,458,2024-06-06,473.65
39,450,2024-03-16,115.69
40,317,2024-09-06,84.42
41,459,2024-06-15,169.86
42,204,2024-10-04,252.76
43,120,2024-06-03,314.93
44,437,2024-06-08,367.24
45,25,2025-02-04,149.6
46,396,2024-10-12,218.53
47,51,2025-01-20,307.22
48,61,2024-09-18,450.37
49,144,2024-04-17,164.32
50,161,2024-09-19,201.2
51,285,2024-03-01,39.96
52,286,2024-08-01,290.28
53,104,2025-01-08,456.69
54,130,2024-09-28,489.65
55,316,2024-04-07,71.31
56,405,2024-05-27,38.51
57,161,2024-06-28,174.91
58,155,2024-02-07,113.54
59,481,2024-02-23,202.68
60,68,2024-11-05,210.48
61,460,2025-02-04,476.42
62,408,2024-03-13,279.97
63,274,2024-11-28,465.4
64,78,2024-08-14,286.68
65,431,2025-01-26,225.84
66,359,2024-11-05,132.57
67,192,2024-12-08,159.07
68,369,2024-04-06,413.51
69,216,2024-06-23,187.16
70,58,2024-02-14,212.66
71,383,2025-01-02,40.16
72,209,2024-08-10,418.93
73,63,2024-05-16,256.99
74,382,2024-05-22,466.08
75,375,2024-07-15,191.59
76,63,2024-05-01,460.01
77,208,2024-06-27,67.19
78,306,2024-03-27,499.63
79,44,2024-07-19,131.74
80,55,2024-03-30,203.32
81,370,2025-01-26,161.83
82,450,2024-08-31,488.85
83,386,2024-03-01,81.19
84,184,2024-08-31,199.01
85,487,2024-04-23,311.84
86,344,2024-07-27,316.32
87,226,2024-09-04,183.88
88,380,2024-08-07,21.64
89,21,2024-05-09,151.5
90,355,2024-06-29,350.04
91,248,2024-07-09,10.98
92,218,2024-12-01,270.29
93,350,2024-04-15,443.73
94,155,2024-04-14,458.26
95,39,2024-08-15,448.51
96,123,2024-06-26,181.47
97,166,2024-09-20,155.21
98,392,2024-06-21,194.3
99,275,2024-04-21,340.93
100,306,2024-07-31,79.36
101,71,2024-05-12,107.76
102,408,2024-06-18,337.52
103,320,2024-05-24,17.97
104,312,2024-12-14,39.32
105,456,2024-03-10,30.72
106,333,2024-04-29,246.24
107,393,2024-09-30,360.65
108,111,2024-05-13,336.24
109,373,2024-11-20,235.86
110,237,2025-01-31,91.92
111,338,2024-02-28,105.12
112,176,2024-10-20,400.54
113,65,2024-05-27,358.26
114,416,2024-05-29,36.52
115,418,2024-09-27,20.91
116,483,2024-09-19,194.02
117,189,2024-05-01,332.51
118,347,2024-04-13,68.41
119,285,2024-07-29,462.71
120,81,2024-04-14,432.01
121,202,2024-06-09,429.07
122,126,2024-05-06,124.77
123,277,2024-03-01,69.04
124,145,2024-10-06,321.77
125,153,2024-08-14,159.53
126,45,2024-07-11,151.79
127,160,2024-08-10,228.4
128,403,2024-03-13,199.4
129,395,2024-04-04,39.41
130,147,2024-02-19,88.14
131,344,2024-02-24,35.84
132,210,2024-09-23,176.71
133,18,2024-07-08,455.86
134,29,2024-11-22,486.85
135,316,2024-02-21,61.74
136,233,2024-05-09,491.11
137,351,2024-02-17,365.09
138,222,2024-08-16,221.26a
139,273,2024-07-13,483.95
140,430,2024-10-27,15.27
141,205,2024-08-10,399.19
142,105,2025-01-26,450.36
143,452,2024-06-27,39.11
144,121,2024-07-28,421.34
145,425,2024-07-07,156.27
146,297,2024-06-04,416.24
147,201,2024-05-09,157.18
148,300,2024-09-20,54.05
149,421,2024-11-26,269.57
150,173,2024-09-04,288.62
